#{"t_start": 1701513492.7798083, "env_id": null}
r,l,t
-1.838096,188,2.192912
-1.8154,223,2.885008
-1.84296,174,3.39233
-1.832683,213,3.971437
-1.85491,183,4.410892
-1.841794,194,4.889325
-1.839576,167,5.631914
-1.851603,172,6.17665
-1.83907,172,6.658446
-1.829208,173,7.125766
-1.837752,173,7.604004
-1.850973,174,8.823082
-1.856757,173,9.459269
-1.837909,195,10.091399
-1.80143,233,10.659046
-1.844751,180,11.280996
-1.867386,170,11.717016
-1.841881,174,12.162649
-1.863262,172,12.764513
-1.854575,176,13.40846
-1.845896,181,13.863678
-1.847085,185,14.427959
-1.843176,201,15.556403
-1.840111,174,16.036463
-1.815001,211,16.564714
-1.849153,175,17.050277
-1.843053,172,17.578671
-1.83969,207,18.244508
-1.832588,185,18.739236
-1.848533,194,19.252026
-1.828285,176,19.692031
-1.854753,186,20.15142
-1.865594,173,20.609076
-1.828238,202,21.71873
-1.836351,218,22.314414
-1.838367,183,22.866743
-1.812647,174,23.368214
-1.799907,200,23.999707
-1.824102,173,24.609108
-1.86044,173,25.19148
-1.826201,222,25.905606
-1.830689,265,26.685825
-1.823245,196,27.265743
-1.830488,173,28.429091
-1.808893,175,28.948668
-1.78879,200,29.508935
-1.842378,182,29.992183
-1.820952,174,30.483091
-1.839736,172,30.984838
-1.821971,170,31.4133
-1.831901,178,31.876439
-1.829556,179,32.42749
-1.818277,174,33.031582
-1.836213,173,33.534024
-1.8352,182,34.112027
-1.785203,247,35.436732
-1.837979,168,35.908622
-1.793325,227,36.513845
-1.832379,179,37.06407
-1.869934,173,37.649494
-1.787233,166,38.100104
-1.803723,167,38.587243
-1.815888,174,39.060584
-1.802139,212,39.641011
-1.853736,182,40.209522
-1.785358,230,41.701628
-1.830001,184,42.254713
-1.779174,223,42.884826
-1.838177,173,43.351977
-1.836103,180,43.87721
-1.860554,175,44.385706
-1.847534,170,44.909473
-1.723017,311,45.770315
-1.83263,175,46.284174
-1.806145,172,46.779339
-1.816845,172,47.299639
-1.825288,185,48.446352
-1.858224,175,48.996272
-1.861024,182,49.541256
-1.816023,178,50.032836
-1.77153,255,50.709295
-1.822627,182,51.18236
-1.759503,253,51.85603
-1.798157,195,52.378778
-1.766498,194,52.884684
-1.840827,180,53.345445
-1.76056,200,54.417637
-1.752488,193,54.907149
-1.792288,270,55.608794
-1.864688,186,56.110099
-1.743087,351,57.037171
-1.836487,172,57.469586
-1.766024,175,57.950961
-1.835667,194,58.52425
-1.764666,208,59.170868
-1.717604,503,61.115702
-1.766846,277,61.956028
-1.865996,173,62.457128
-1.843408,188,63.02684
-1.845943,181,63.577041
-1.819124,174,64.075523
-1.778956,176,64.542574
-1.850343,172,65.020642
-1.696545,513,67.203662
-1.848888,209,67.805725
-1.776323,188,68.315627
-1.811824,179,68.924737
-1.866312,165,69.481906
-1.898824,169,70.025218
-1.838024,177,70.566963
-1.840504,201,71.336266
-1.822382,316,72.385547
-1.785465,208,73.144683
-1.905258,168,74.207012
-1.888391,175,74.763891
-1.547161,311,75.630398
-1.792024,167,76.11069
-1.710824,204,76.694272
-1.781402,175,77.168125
-1.831069,167,77.64271
-1.899288,175,78.201646
-1.819803,171,78.704667
-1.743824,189,79.281151
-1.716446,283,80.606417
-1.880266,182,81.075108
-1.833709,194,81.618257
-1.863597,168,82.082058
-1.771636,269,82.780399
-1.768837,308,83.607718
-1.763824,199,84.13389
-1.703771,387,85.157123
-1.691424,213,85.743853
-1.759824,189,86.819331
-1.827378,201,87.344223
-1.770088,177,87.795398
-1.837224,175,88.267384
-1.871943,180,88.792835
-1.882593,180,89.354146
-1.735826,400,90.550939
-1.464991,379,91.572891
-1.786461,170,92.08614
-1.553888,289,93.808374
-1.626888,274,94.565289
-1.575885,519,95.862345
-1.887024,197,96.393497
-1.746488,173,96.830149
-1.789571,308,97.618073
-1.549824,309,98.476053
-1.790893,202,99.838109
-1.794418,174,100.3143
-1.574486,395,101.553314
-1.745673,188,102.168322
-1.821639,180,102.668229
-1.725024,207,103.240531
-1.818152,292,104.047266
-1.839088,167,104.541478
-1.831802,196,105.135506
-1.897552,168,106.190262
-1.214624,501,107.509521
-1.683688,206,108.146161
-1.682624,206,108.662754
-1.536024,307,109.477552
-1.747332,378,110.400086
-1.438411,372,111.321026
-1.855224,200,112.365545
-1.668824,214,112.886532
-1.592624,266,113.596756
-1.685965,284,114.352599
-1.365576,562,115.800313
-1.812388,242,116.451402
-1.844424,203,117.020588
-1.596379,279,118.370554
-1.538224,295,119.309234
-1.553224,285,120.224312
-1.831198,166,120.865665
-1.344627,598,122.733664
-0.767053,1014,126.133417
-1.637224,310,127.126
-1.532664,395,128.325644
-1.582411,428,129.532441
-1.436824,369,130.524851
-1.812181,200,131.835633
-1.663173,301,132.733982
-1.409118,421,133.820726
-1.717622,320,134.703274
-1.275224,465,136.04681
2.515221,1521,140.224457
-0.925796,707,142.148448
-1.437324,388,143.777124
-1.207197,816,145.69001
2.490045,1497,149.56018
-1.087997,741,151.412889
2.470355,1475,155.505999
2.003457,2126,160.524973
2.296215,2052,165.626114
2.906227,1469,169.581244
-0.756321,999,172.085893
3.987515,2260,178.553828
-0.799381,933,181.763599
-1.165243,656,183.588711
-0.928985,862,185.849829
-1.892624,181,186.388342
-1.756224,415,188.032205
-0.680169,1044,190.805841
-1.260195,669,192.659674
2.882223,1616,197.41261
-1.325389,595,199.602357
-1.329637,705,201.427097
-1.419024,602,203.060974
-0.759525,827,205.824064
-1.001112,726,207.722082
-1.37688,640,209.436856
1.796215,2216,215.105355
-1.107015,845,218.152633
-0.493585,2028,223.455462
2.057215,2172,228.857733
1.889215,2019,233.748094
-0.957552,878,235.92547
-1.830624,291,236.641021
2.90757,1338,240.118211
-1.873288,200,240.628026
1.796216,2309,245.790585
2.376215,2111,250.849837
1.796219,2416,256.313473
2.184215,2013,261.211491
2.236215,1715,265.573054
1.796215,2507,270.795293
1.797215,2511,276.659752
-1.158389,760,278.524014
2.617215,2016,283.720036
2.973215,1718,288.238333
2.246215,1424,292.254318
-1.549224,760,294.228109
2.770215,1820,298.754189
-1.200185,651,300.438598
2.168227,2110,305.527139
-0.3253,1151,308.999693
0.108911,1355,312.559812
-0.384732,1110,315.842599
-0.366461,1605,319.986761
-1.03938,733,321.911681
0.805537,2058,326.874739
2.154215,2217,332.094625
2.098215,2111,337.358006
0.021947,1574,341.690232
2.292215,2014,347.144744
1.796215,2412,352.334138
1.966215,2314,357.558373
-1.857676,195,358.072966
-1.770543,275,359.284337
1.796215,2415,364.725576
2.253215,2113,370.207992
-1.760453,174,370.723194
1.796215,2413,376.468165
-0.60276,1030,378.931759
2.454215,1817,383.403889
1.800215,2214,388.400711
2.065215,1516,392.521071
1.796215,2119,397.598953
1.796215,2407,403.294936
1.796215,2511,409.393262
1.798215,2514,414.863307
1.796215,2011,419.766443
1.796215,2308,425.049246
2.350215,1816,429.614852
2.228215,1717,434.215813
2.116215,2311,439.723421
1.796215,2515,445.820642
2.048215,2012,451.080495
1.796215,2410,456.615792
2.110215,2218,462.193585
2.235215,2112,467.408893
1.796215,2512,473.546803
1.796215,2410,479.125431
2.018215,2409,484.326252
1.796215,2317,489.412742
1.905215,2506,495.187439
1.932215,2507,500.857958
1.804215,2210,506.846879
1.805215,2315,512.472741
2.221215,2115,517.773278
1.822215,2309,523.426209
1.909215,2514,528.997021
-1.391424,388,530.057534
1.804215,2507,535.665557
1.926215,2511,541.865131
1.814215,2313,547.418179
-1.444402,370,548.410722
2.038215,2415,554.014538
2.213215,2115,559.278689
2.217215,2217,564.830532
1.805215,2410,570.965193
-1.623257,272,571.733921
-1.870324,188,572.24465
2.381215,1917,577.193997
2.113215,2217,583.022704
1.796215,2511,588.809881
1.796215,2015,594.015759
2.112215,2316,599.597232
1.796215,2312,605.354356
2.116215,2311,611.087251
1.796215,2508,617.598184
1.897215,2507,623.303593
1.804215,2410,628.881239
2.123215,1920,633.751999
1.809215,2311,639.273548
2.355215,1814,644.205466
2.320215,2013,649.227907
1.800215,2313,654.73857
1.807215,2313,660.187207
1.798215,2408,665.489201
1.796215,2311,670.974502
1.812215,2218,677.269925
2.116215,2018,682.422257
1.797215,2116,687.659861
2.544215,1615,691.441869
1.796215,2409,697.663015
1.799215,2113,703.232773
1.861215,2413,708.385311
1.949215,2512,714.135211
1.798215,2312,719.760168
1.802215,2511,725.635822
1.886215,2515,732.078658
1.853215,2513,738.0772
1.796215,2409,743.423965
1.796215,2308,748.706558
1.797215,2513,754.188835
1.796215,2508,760.207347
1.796215,2512,765.593493
-1.77304,371,766.57139
1.796215,2317,772.204723
1.796215,2310,778.061958
-1.880824,209,778.666151
1.796215,2413,783.727129
1.869215,2510,789.37136
1.806215,2317,794.672453
1.796215,2510,800.243133
-1.395424,383,801.334714
2.027215,2309,806.883621
2.344215,2019,812.005434
1.904215,2514,818.502584
1.796215,2407,824.186935
1.801215,2512,829.570822
1.801215,2312,834.75215
-1.561824,279,835.449649
1.852215,2514,840.785057
1.808215,2217,846.618093
-1.875373,212,847.252029
-1.885722,180,847.725012
1.801215,2410,853.283013
-1.771065,371,854.232159
1.892215,2408,859.519497
-1.552824,289,860.256366
-1.685024,202,861.31802
-1.825424,298,862.094046
1.853215,2416,867.591151
1.869215,2508,872.948649
1.799215,2509,878.358955
1.796215,2317,883.997075
-1.893619,189,885.306012
1.802215,2411,890.787513
-1.884974,192,891.288029
-1.85384,172,891.727711
1.796215,2506,897.311653
1.822215,2212,902.422337
-1.875655,170,902.846914
1.796215,2416,908.479452
1.807215,2512,914.938457
1.796215,2414,920.379819
-1.905273,167,920.849477
1.815215,2212,926.292358
1.797215,2506,931.800853
1.796215,2410,937.027007
1.796215,2309,943.270334
1.798215,2506,948.823774
1.798215,2511,954.391551
-1.887073,199,954.917026
1.796215,2507,960.515379
1.796215,2510,966.642771
-1.896537,175,967.094986
1.796215,2413,972.609111
-1.881273,187,973.159961
1.801215,2218,978.688609
1.796215,2315,983.978171
-1.868729,203,984.47745
1.812215,2114,989.620352
1.796215,2509,995.547932
1.796215,2513,1002.08245
-1.569624,286,1002.937452
1.802215,2308,1008.662071
1.813215,2309,1014.305244
-1.886331,174,1014.76862
-1.859404,173,1015.21984
-1.402224,385,1016.223834
-1.899224,170,1017.234742
1.833215,2312,1022.608156
1.808215,2410,1027.840824
1.901215,2508,1033.509106
1.806215,2509,1038.994141
1.816215,2511,1045.137861
-1.797764,200,1045.651594
-1.867346,174,1046.105858
2.25328,2511,1051.573989
1.942215,2510,1056.946811
-1.564824,294,1057.768055
2.374282,2506,1064.316544
-1.82108,169,1064.788205
1.857215,2512,1070.397515
-1.833585,182,1070.918281
-1.669024,212,1071.460173
-1.770997,192,1072.033521
1.806215,2513,1077.737609
2.249215,2213,1083.263233
-1.685393,311,1084.604404
-1.56943,283,1085.33604
1.897215,2415,1090.767039
2.522396,2225,1096.214274
1.877215,2411,1101.485044
2.405215,1917,1106.138109
-1.57931,401,1107.119617
2.819215,1524,1110.992639
1.800215,2413,1116.512759
1.804215,2416,1122.650539
-1.229018,503,1124.659323
1.797215,2507,1130.754296
2.249215,2111,1136.351696
-0.401824,1004,1138.744657
2.287215,1821,1143.356341
2.612215,1621,1147.700451
-1.84526,268,1148.37334
-1.76336,174,1148.842685
2.079219,2309,1154.346733
-0.772638,793,1156.942374
-1.78201,173,1157.411335
1.804215,2218,1163.060969
2.172215,2214,1168.483719
1.911215,2309,1173.608048
-0.289948,1106,1176.812209
2.519219,1920,1182.090442
2.074217,2312,1187.631237
2.490215,1815,1192.311599
1.999215,2214,1197.851323
1.797215,2409,1203.574799
0.487615,1739,1208.107842
0.120215,2203,1213.535953
4.210215,2415,1218.962106
0.875015,2249,1223.974169
4.109215,2314,1229.27476
4.201215,2408,1234.826822
4.012215,2217,1240.762897
3.854215,2311,1245.996867
4.301215,2508,1251.174635
3.512215,1723,1255.86602
3.400215,1615,1259.577876
4.309215,2514,1265.594608
4.201215,2408,1271.22279
4.304215,2509,1276.997095
4.307215,2512,1282.605
1.072415,2321,1288.099125
-0.297585,1276,1291.696047
1.797215,2508,1297.048706
1.17957,2425,1302.907559
3.133576,1338,1306.112094
1.796215,2512,1311.493147
1.797215,2409,1317.626288
1.802215,2407,1323.329395
3.488215,2135,1328.501136
1.796215,2414,1334.038159
4.108215,2313,1339.368244
1.796215,2506,1344.887529
1.900215,2411,1350.225572
3.909215,2172,1356.032026
-0.845486,1068,1358.734892
1.798215,2309,1364.30497
4.256515,2493,1369.721425
3.758515,2034,1374.69252
1.796215,2513,1380.582184
1.802215,2412,1385.831683
1.796215,2216,1391.196203
1.796215,1920,1396.341547
-1.545824,289,1397.106879
1.849215,2019,1401.932936
1.796215,2316,1407.263735
1.796215,2308,1412.482898
1.796215,2408,1417.575729
1.796215,2407,1423.572197
1.848515,2075,1428.942036
1.797215,2515,1434.676694
1.796215,1915,1439.360487
1.797219,2511,1444.584759
1.798215,2416,1449.728594
2.312215,1820,1454.408758
1.797215,2016,1459.333313
1.804215,2512,1464.606764
-1.547424,288,1465.37141
1.796215,2114,1470.676051
1.801215,2514,1476.995234
1.796215,2410,1482.321651
-1.586224,270,1483.029908
-1.707824,189,1483.55253
1.796215,2416,1489.129982
1.800215,2512,1494.374024
1.796215,2310,1500.519705
-1.904824,169,1500.978119
1.796215,2415,1506.350187
1.842219,2474,1511.788779
-1.65138,967,1514.678328
-1.829424,288,1515.415177
-1.660796,653,1517.083342
-1.693141,766,1519.078021
2.07755,2361,1525.020213
-1.513024,312,1525.885004
1.883232,2271,1531.240432
-1.891288,175,1531.682205
-1.869424,213,1532.254554
-1.248426,569,1533.754858
2.365234,1571,1537.846147
-1.514153,1211,1541.275138
2.202238,2265,1546.36709
-1.639554,647,1548.005222
2.19953,2064,1553.064426
1.848545,2471,1558.496722
-1.028096,899,1561.301621
1.851539,2482,1566.623991
2.086525,1876,1571.307292
-1.406624,376,1572.269238
1.955218,2429,1577.457704
1.881527,2442,1582.803492
1.902522,2417,1588.628491
-1.715624,481,1589.872142
-1.901178,172,1590.325739
1.885515,2042,1595.349285
